product_name,description,manufacturer
Latest pokemon soft toy TSUTARJA new in uk ready to send,Latest pokemon soft toy TSUTARJA new in uk ready to send,Banpresto
Ty Beanie Baby Peppa Pig - Pirate George Plush Toy,This Peppa Pig George Pirate is the perfect gift for your little ones. This character is based on the popular Peppa Pig television programme.,Ty UK Ltd
Webkinz Delightz Chocolate Pup Plush Toy,"Product Description The unique code found on the plush toys can be used on the Official Webkinz Website where you can register ownership, care for and play with your new pet. Log on to the Webkinz World and enter your code found on the plush pet. Play arcade games, educational quizzes and chat to friends. Care for your online pet. Buy furniture, food, toys and much more! Size: 15cm Age: 3 Years + Box Contains 1 x Webkinz Delightz Chocolate Pup",Webkinz
Plush Soft Toy Marble Lop Eared Rabbit. 30cm. (Assorted colours),"A cute little lop eared rabbit made from super soft plush of various flecks of gold, black and white with beans in its belly.It carries the CE label so it safe for children and is surface washable. Approx 10"" (25.5cm) nose to bum,6""(15.25cm) high.",Living Nature
"Disney Phineas and Ferb 8 Ferb Plush, soft, cuddle doll toy",,Disney
"Ben & Holly 6"" Soft Toy Holly",You can take this Supersoft Holly with you anywhere on your magical adventures! Ben Elf with his favourite hat on! They are the softest fabric that you'll love to cuddle. Approx. 16cm tall. Suitable for ages 18 months +,Ben & Holly
Cute Paw Patrol Ryder Soft Toy New Paw Patrol Plush Toy Doll Xmas Gift,Description 100% Brand new. Excellent quality! Size: 20 CM Quantities: 1pcs,Paw Patrol
Teddy Hermann Plush Soft Toy Penguin. 26cm.,A cute and cuddly penguin made from the finest materials to the highest standards by a company you can trust.,Teddy Hermann
Webkinz Butterscotch Retreiver Soft Toy,"Product Description The unique code found on the plush toys can be used on the Official Webkinz Website where you can register ownership, care for and play with your new pet, the Butterscotch Retreiver. Box Contains 1x WEBKINZ - BUTTERSCOTCH RETRIEVER",Webkinz
Claire's Girls and Womens Small Beanie Flora The Skunk Soft Toy in Black/White,- Suitable for children aged 3+ - TY Beanie Boos small Flora the Skunk - Dimensions: H 15cm - Plush Fabric,Claire's
Me To You 4-inch Tatty Teddy and My Blue Nose Friends Leboo The Masai Lion Soft Toy,"Product Description My Blue Nose Friends are cute, cuddly and completely irresistible. Start collecting now! Leboo is the stunning Masai Lion who loves to stand out… wherever he roams, he's always the mane attraction. My Blue Nose Friends are best friends with each other… and with Tatty Teddy, the adorable Me to You Teddy bear. All the characters have blue noses and cute patches, and they can't wait to play! There are over 100 My Blue Nose Friends in the collection and each has its own unique personality. With so many My Blue Nose Friends to choose from, a world of fun and adventure awaits Tatty Teddy and his adorable Friends. Why not join in the fun today! Box Contains 1 X Plush",Me To You
Webkinz Pug Plush Toy,"Discover a virtual world with Webkinz pets. Webkinz animals come with a special Internet code so your child can interact with it online. The code lets you enter Webkinz World and bring your pet to life. Pet owners can name it, make it a home and even play games. Pug measures 10"". Not recommended for children under 3.Minimum Supported Browsers: Windows - Internet Explorer 6, Netscape 7.2, Firefox 1.0, AOL Explorer 1.5. McIntosh - Safari 1.2.3, Internet Explorer 5.2.3, Fire Fox 1.5, High-speed Internet Required, Monitor Resolution 1024 x 768. Requirements may change; check www.webkinz.com for latest revisions.",Vivid Imaginations
GIANTmicrobes Original White Lab Mouse Rat Educational Soft Toy Funny Science Gift,The white lab mouse is the unsung hero of our medical miracles. But does it want renown - or just a happy home? You decide.,White Lab Mouse
Ganz HS031 - Lil'Kinz Leopard Soft Toy 17 cm,Product Description br/>Lil'Kinz are very likable soft toys (17 cm) that come with a secret access code (online code) to a virtual world. They are the babies in the virtual Webkinz world but have the same functions as their big brothers and sisters.,Lil Kinz
Plush Soft Toy Sitting Grey Chinchilla by Hansa. 18cm. 5978,Ref: 5978 Desc: Sitting Grey Chinchilla 18cm,Hansa
"Teddy Bear with chameleon, limb, slither, animal, reptile image t-shirt",18 cm (7 inch) tall soft teddy bear with personalized white t-shirt.BUYER'S INFORMATIONNot suitable for Children under 3!This item does not contain toxic material.Cleaning: use warm water.Country of origin: China,Shopzeus
Keel Toys Cuddly Plush labrador on the lead Dog,"This Labrador plush is a great gift for any dog lover, old or young. You won't be able to say no to those puppy dog eyes! Stands upright and is wearing a brown lead. Official Keel Toys product. Soft plush toy.",Keel Toys
Doodle Jump 8-Inch Space Plush Toy,Product Description Your favorite Doodle Jump themes have come to life as quirky and adorable plush. Pick your favorite theme or collect them all. Each plush sold separately. Box Contains 1 x Doodle Jump Character,Doodle Jump
